ID: 109 | Disease: Blood Pressure | Title: "Chicken Stew" | Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_009.jpg"
ID: 110 | Disease: Blood Pressure | Title: "Northeast Indian Style Steamed Fish with Ginger and Spring Onion" | Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_010.jpg"
ID: 111 | Disease: Blood Pressure | Title: "Traditional Indian Fish Curry" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_011.jpg"
ID: 112 | Disease: Blood Pressure | Title: "Tandoori Gobi" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_012.jpg"
ID: 113 | Disease: Blood Pressure | Title: "Paneer Bhurji" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_013.jpg"
ID: 114 | Disease: Blood Pressure | Title: "Minty Roasted Makhana" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_014.jpg"
ID: 115 | Disease: Blood Pressure | Title: "Veg Cutlet" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_015.jpg"
ID: 116 | Disease: Blood Pressure | Title: "Moong Sprouts Chaat" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_016.jpg"
ID: 117 | Disease: Blood Pressure | Title: "Indian Spiced Vegetable Cutlets" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_017.jpg"
ID: 118 | Disease: Blood Pressure | Title: "Crispy Baked Vegetable Samosas" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_018.jpg"
ID: 119 | Disease: Blood Pressure | Title: "Handvo (Baked & Stovetop)" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_019.jpg"
ID: 120 | Disease: Blood Pressure | Title: "Dal Dhokla" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_020.jpg"
ID: 121 | Disease: Blood Pressure | Title: "Spicy Street Chana Chaat" | Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_021.jpg"
ID: 122 | Disease: Blood Pressure | Title: "Pomegranate Spinach Salad with Oranges and Pumpkin" | Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_022.jpg"
ID: 123 | Disease: Blood Pressure | Title: "Vermicelli Paneer Cucumber Salad with Curd" | Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_023.jpg"
